ano,inscricao_enem,nota_ch,nota_cn,nota_l,nota_m,nota_r,sigla_uf_campus
2022,211XXXXXX916,520.0,413.8,514.0,416.1,320.0,DF
2022,211XXXXXX036,379.6,420.2,323.6,381.6,240.0,DF
2022,211XXXXXX850,509.9,385.6,385.6,494.2,280.0,DF
2022,211XXXXXX525,564.9,467.6,426.3,515.3,280.0,DF
2022,211XXXXXX748,403.2,383.3,419.3,393.0,340.0,DF
2022,215XXXXXX216,405.0,484.5,530.5,468.9,340.0,DF
2022,211XXXXXX748,403.2,383.3,419.3,393.0,340.0,DF
2022,215XXXXXX216,405.0,484.5,530.5,468.9,340.0,DF
2022,211XXXXXX525,564.9,467.6,426.3,515.3,280.0,DF
2022,211XXXXXX527,377.8,385.1,384.2,461.4,320.0,DF
2022,211XXXXXX277,378.3,363.6,360.1,378.7,280.0,DF
2022,211XXXXXX003,346.5,360.3,424.6,446.9,340.0,DF
2022,211XXXXXX737,712.2,496.6,578.8,468.0,340.0,DF
2022,215XXXXXX309,510.1,499.5,584.2,430.4,280.0,DF
2022,211XXXXXX036,379.6,420.2,323.6,381.6,240.0,DF
2022,211XXXXXX897,338.8,443.5,348.9,444.6,240.0,DF
2022,211XXXXXX036,379.6,420.2,323.6,381.6,240.0,DF
2022,211XXXXXX793,442.8,433.6,430.6,421.7,340.0,DF
2022,211XXXXXX779,400.3,389.4,380.7,469.3,340.0,DF
2022,211XXXXXX003,346.5,360.3,424.6,446.9,340.0,DF
2022,211XXXXXX779,400.3,389.4,380.7,469.3,340.0,DF
2022,211XXXXXX663,450.1,456.6,362.5,368.0,260.0,DF
2022,215XXXXXX876,367.7,526.0,508.8,416.4,340.0,DF
2022,211XXXXXX585,457.8,390.8,458.4,443.5,340.0,DF
2022,211XXXXXX585,457.8,390.8,458.4,443.5,340.0,DF
2022,211XXXXXX603,418.1,409.0,432.8,400.4,320.0,DF
2022,211XXXXXX379,414.2,417.8,399.5,401.4,280.0,DF
2022,211XXXXXX887,442.9,431.2,482.1,508.0,320.0,DF
2022,211XXXXXX603,418.1,409.0,432.8,400.4,320.0,DF
2022,211XXXXXX850,509.9,385.6,385.6,494.2,280.0,DF
2022,211XXXXXX387,397.1,367.7,435.4,584.2,340.0,DF
2022,211XXXXXX485,476.1,389.8,331.1,422.1,320.0,DF
2022,211XXXXXX703,603.2,554.2,487.9,584.8,240.0,DF
2022,211XXXXXX703,603.2,554.2,487.9,584.8,240.0,DF
